time,bytes,packets,dropped,requeued,txretry,txfailed,sndbuf
0, 218820, 210, 40896564, 4376, 594377, 1132, 1002240
1, 228198, 219, 40896564, 4376, 594377, 1132, 1002240
2, 251122, 241, 40896564, 4376, 594377, 1132, 1002240
3, 243828, 234, 40896564, 4376, 594711, 1132, 1002240
4, 231324, 222, 40896564, 4376, 594740, 1132, 1002240
5, 249038, 239, 40896564, 4376, 594876, 1132, 1002240
6, 226114, 217, 40896564, 4376, 594876, 1132, 1002240
7, 219862, 211, 40896564, 4376, 594910, 1132, 1002240
8, 253248, 244, 40896564, 4376, 595173, 1134, 1002240
9, 229282, 221, 40896564, 4376, 595445, 1137, 1002240
10, 226156, 218, 40896564, 4376, 595771, 1137, 1002240
11, 227198, 219, 40896564, 4376, 595974, 1137, 1002240
12, 0, 0, 40896564, 4376, 596267, 1137, 470016
13, 0, 0, 40896564, 4376, 596530, 1138, 223488
14, 224135, 216, 40896564, 4378, 596627, 1139, 1002240
15, 220904, 212, 40896564, 4378, 596627, 1139, 1002240
16, 218964, 212, 40896564, 4378, 596893, 1139, 1002240
17, 253284, 244, 40896564, 4378, 597087, 1139, 1002240
18, 246954, 237, 40896564, 4378, 597205, 1139, 1002240
19, 245990, 237, 40896564, 4378, 597233, 1139, 1002240
20, 219862, 211, 40896564, 4378, 597360, 1139, 1002240
21, 241744, 232, 40896564, 4378, 597824, 1139, 1002240
22, 235492, 226, 40896564, 4378, 597952, 1139, 1002240
23, 251122, 241, 40896564, 4378, 598051, 1139, 1002240
24, 241744, 232, 40896564, 4378, 598551, 1139, 1002240
25, 253206, 243, 40896564, 4378, 598803, 1143, 1002240
26, 250080, 240, 40896564, 4378, 599076, 1148, 1002240
27, 218820, 210, 40896564, 4378, 599366, 1148, 1002240
28, 228198, 219, 40896564, 4378, 599712, 1150, 1002240
29, 241744, 232, 40896564, 4378, 600044, 1151, 1002240
30, 0, 0, 40896564, 4378, 600338, 1152, 557568
31, 0, 0, 40896564, 4378, 600565, 1152, 336384
32, 228198, 219, 40896564, 4380, 600759, 1152, 1002240
33, 221946, 213, 40896564, 4380, 600966, 1152, 1002240
34, 241744, 232, 40896564, 4380, 601069, 1152, 1002240
35, 218820, 210, 40896564, 4380, 601189, 1152, 1002240
36, 239660, 230, 40896564, 4380, 601387, 1152, 1002240
37, 227156, 218, 40896564, 4380, 601579, 1153, 1002240
38, 241744, 232, 40896564, 4380, 601677, 1154, 1002240
39, 243828, 234, 40896564, 4380, 601892, 1154, 1002240
40, 0, 0, 40896564, 4380, 602114, 1154, 444672
41, 0, 0, 40896564, 4380, 602295, 1154, 292608
42, 221946, 213, 40896564, 4382, 602474, 1154, 1002240
43, 219862, 211, 40896564, 4382, 602474, 1154, 1002240
44, 233408, 224, 40896564, 4382, 602554, 1154, 1002240
45, 234553, 226, 40896564, 4382, 603014, 1154, 1002240
46, 239660, 230, 40896564, 4382, 603243, 1154, 1002240
47, 249038, 239, 40896564, 4382, 603249, 1154, 1002240
48, 218820, 210, 40896564, 4382, 603716, 1154, 1002240
49, 242786, 233, 40896564, 4382, 604056, 1154, 1002240
50, 245912, 236, 40896564, 4382, 604206, 1154, 1002240
51, 225072, 216, 40896564, 4382, 604476, 1156, 1002240
52, 0, 0, 40896564, 4382, 604741, 1156, 543744
53, 227156, 218, 40896564, 4384, 605118, 1158, 1002240
54, 249038, 239, 40896564, 4384, 605147, 1158, 1002240
55, 239660, 230, 40896564, 4384, 605212, 1158, 1002240
56, 253296, 244, 40896564, 4384, 605314, 1158, 1002240
57, 242828, 234, 40896564, 4384, 605526, 1158, 1002240
58, 246996, 238, 40896564, 4384, 605526, 1158, 1002240
59, 231324, 222, 40896564, 4384, 605715, 1158, 1002240
60, 249038, 239, 40896564, 4384, 605722, 1158, 1002240
61, 222988, 214, 40896564, 4384, 605784, 1158, 1002240
62, 218820, 210, 40896564, 4384, 605863, 1158, 1002240
63, 218820, 210, 40896564, 4384, 606033, 1158, 1002240
64, 239660, 230, 40896564, 4384, 606228, 1158, 1002240
65, 218987, 212, 40896564, 4384, 606739, 1158, 1002240
66, 234617, 227, 40896564, 4384, 606769, 1158, 1002240
67, 230644, 225, 40896564, 4384, 606769, 1158, 1002240
68, 255485, 247, 40896564, 4384, 606769, 1158, 1002240
69, 224303, 218, 40896564, 4384, 606838, 1158, 1002240
70, 226192, 218, 40896564, 4384, 607029, 1158, 1002240
71, 255368, 246, 40896564, 4384, 607321, 1161, 1002240
72, 255485, 247, 40896564, 4384, 607570, 1163, 1002240
73, 251383, 244, 40896564, 4384, 607736, 1165, 1002240
74, 228459, 222, 40896564, 4384, 607885, 1168, 1002240
75, 230348, 222, 40896564, 4384, 608093, 1169, 1002240
76, 237642, 229, 40896564, 4384, 608202, 1170, 1002240
77, 244870, 235, 40896564, 4384, 608415, 1171, 1002240
78, 246020, 238, 40896564, 4384, 608592, 1174, 1002240
79, 238768, 232, 40896564, 4384, 608792, 1177, 1002240
80, 237768, 232, 40896564, 4384, 609038, 1177, 1002240
81, 0, 0, 40896564, 4384, 609258, 1177, 564480
82, 0, 0, 40896564, 4384, 609392, 1179, 467712
83, 0, 0, 40896564, 4384, 609518, 1183, 352512
84, 0, 0, 40896564, 4384, 609657, 1184, 262656
85, 228198, 219, 40896564, 4386, 609766, 1185, 1002240
86, 218820, 210, 40896564, 4386, 609878, 1185, 1002240
87, 225072, 216, 40896564, 4386, 609999, 1185, 1002240
88, 225072, 216, 40896564, 4386, 610161, 1185, 1002240
89, 218820, 210, 40896564, 4386, 610341, 1185, 1002240
90, 241744, 232, 40896564, 4386, 610421, 1185, 1002240
91, 218820, 210, 40896564, 4386, 610436, 1185, 1002240
