"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,32801,203,7924675,43553,0,80,0
192.168.10.120,0,0,32083,199,7501489,41232,0,80,0
192.168.10.121,0,0,32479,202,8780245,48256,0,80,0
192.168.10.126,0,0,33463,208,7836173,43068,0,80,0
192.168.10.128,0,0,32257,200,6737949,37034,0,80,0
192.168.10.137,0,0,31965,200,5936679,32633,3,79,0
192.168.10.140,0,0,32621,205,8319341,45724,0,79,0
192.168.10.152,0,0,31087,193,5986485,32905,0,81,0
192.168.10.155,0,0,31681,197,8713633,47888,0,80,0
192.168.10.190,0,0,31705,191,7166207,39387,0,80,0
192.168.10.226,0,0,29953,187,6220855,34189,0,80,0
192.168.10.229,0,0,29813,184,5813713,31953,0,80,0
192.168.10.247,0,0,30979,194,7240139,39793,0,80,0
192.168.10.248,0,0,32095,200,6074069,33386,1,80,0
localhost,121,103,464057,2774,195121896,966821,0,0,1256
