"host","tx time 1","tx time 2","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.128,0,0,42661,268,22047699,15719,0,96,0
192.168.10.140,0,0,44122,282,29939837,21321,0,96,0
192.168.10.155,0,0,40987,261,22807153,16248,0,96,0
192.168.10.158,0,0,45452,294,6655225,4827,0,104,0
192.168.10.161,0,0,40846,260,25511103,18167,0,96,0
192.168.10.226,0,0,42111,262,25798403,18371,0,96,0
192.168.10.229,0,0,40599,258,23348081,16634,0,96,0
192.168.10.247,0,0,41936,267,27286403,19435,0,97,0
192.168.10.248,0,0,41672,267,25377119,18084,0,96,0
localhost,195,175,379071,2098,311227505,219697,0,0,70
