"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.111,0,0,0,0,0,0,32755,204,24987695,23237,0,75,0
192.168.10.120,0,0,0,0,0,0,28028,186,49462103,45934,0,76,0
192.168.10.121,0,0,0,0,0,0,32185,202,33704273,31320,0,75,0
192.168.10.137,0,0,0,0,0,0,26549,173,23290621,21660,1,76,0
192.168.10.140,0,0,0,0,0,0,32659,204,76433891,70955,0,75,0
192.168.10.152,0,0,0,0,0,0,31851,198,30898033,28714,0,75,0
192.168.10.158,0,0,0,0,0,0,31888,200,25557729,23762,1,75,0
192.168.10.229,0,0,0,0,0,0,31930,200,42582511,39553,0,75,0
192.168.10.247,0,0,0,0,0,0,31346,193,36417601,33838,0,75,0
localhost,339,228,880,3,0,0,410158,1637,-4181725462,104453,0,0,1329
control,151,146,176,1,0,0,0,0,0,0,0,0,0
