"host","tx time avg","tx time 50","ack fails","ack fails 50","rts fails","rts fail 50","rx bytes","rx packets","tx bytes","tx packets","tx failed","connected time","tx retries"
192.168.10.120,0,0,0,0,0,0,29665,205,9453499,152389,0,80,0
192.168.10.121,0,0,0,0,0,0,27982,199,8305355,133875,0,78,0
192.168.10.122,0,0,0,0,0,0,28777,204,8107091,130677,0,78,0
192.168.10.128,0,0,0,0,0,0,29480,205,14375465,231780,0,79,0
192.168.10.137,0,0,0,0,0,0,29188,203,8730965,140738,0,79,0
192.168.10.138,0,0,0,0,0,0,30199,210,7533641,121428,0,79,0
192.168.10.155,0,0,0,0,0,0,28195,202,10683481,172228,0,78,0
192.168.10.161,0,0,0,0,0,0,30511,209,8295709,133717,0,80,0
192.168.10.168,0,0,0,0,0,0,30342,209,6893880,111104,0,80,0
192.168.10.190,0,0,0,0,0,0,29390,204,8779729,141526,0,79,0
192.168.10.217,0,0,0,0,0,0,28662,202,14979337,241520,0,78,0
192.168.10.229,0,0,0,0,0,0,28157,200,7817377,126004,0,78,0
192.168.10.247,0,0,0,0,0,0,29486,204,9645757,155494,0,79,0
192.168.10.248,0,0,0,0,0,0,28980,201,8829875,142333,0,79,0
localhost,170,140,5438,4,0,0,517951,2031,39133543,475534,0,0,7515
control,159,120,393,0,0,0,0,0,0,0,0,0,0
