packet,delta,bytes
0,19,1024
1,12,1024
2,7,1024
3,6,1024
4,6,1024
5,7,1024
6,6,1024
7,7,1024
8,7,1024
9,6,1024
10,7,1024
11,7,1024
12,8,1024
13,6,1024
14,7,1024
15,7,1024
16,6,1024
17,6,1024
18,7,1024
19,8,1024
20,6,1024
21,7,1024
22,7,1024
23,8,1024
24,7,1024
25,8,1024
26,7,1024
27,7,1024
28,6,1024
29,6,1024
30,7,1024
31,7,1024
32,7,1024
33,6,1024
34,7,1024
35,12,1024
36,8,1024
37,7,1024
38,9,1024
39,7,1024
40,14,1024
41,7,1024
42,8,1024
43,7,1024
44,6,1024
45,6,1024
46,6,1024
47,7,1024
48,7,1024
49,6,1024
50,7,1024
51,6,1024
52,7,1024
53,7,1024
54,7,1024
55,7,1024
56,10,1024
57,7,1024
58,7,1024
59,7,1024
60,7,1024
61,6,1024
62,6,1024
63,7,1024
64,6,1024
65,6,1024
66,6,1024
67,7,1024
68,7,1024
69,6,1024
70,6,1024
71,7,1024
72,9,1024
73,7,1024
74,10,1024
75,8,1024
76,7,1024
77,6,1024
78,6,1024
79,7,1024
80,7,1024
81,6,1024
82,7,1024
83,7,1024
84,7,1024
85,6,1024
86,7,1024
87,7,1024
88,10,1024
89,7,1024
90,7,1024
91,7,1024
92,7,1024
93,6,1024
94,229960,1024
95,21,1024
96,9,1024
97,7,1024
98,7,1024
99,7,1024
100,6,1024
101,6,1024
102,6,1024
103,7,1024
104,7,1024
105,7,1024
106,7,1024
107,7,1024
108,7,1024
109,7,1024
110,7,1024
111,7,1024
112,7,1024
113,6,1024
114,8,1024
115,8,1024
116,7,1024
117,7,1024
118,7,1024
119,6,1024
120,7,1024
121,6,1024
122,6,1024
123,6,1024
124,8,1024
125,7,1024
126,7,1024
127,7,1024
128,6,1024
129,6,1024
130,6,1024
131,6,1024
132,6,1024
133,7,1024
134,7,1024
135,7,1024
136,8,1024
137,6,1024
138,6,1024
139,7,1024
140,7,1024
141,7,1024
142,7,1024
143,312424,1024
144,10,1024
145,7,1024
146,6,1024
147,6,1024
148,6,1024
149,6,1024
150,6,1024
151,7,1024
152,7,1024
153,6,1024
154,7,1024
155,13,1024
156,7,1024
157,7,1024
158,7,1024
159,6,1024
160,7,1024
161,6,1024
162,7,1024
163,6,1024
164,8,1024
165,7,1024
166,6,1024
167,6,1024
168,7,1024
169,8,1024
170,7,1024
171,10,1024
172,7,1024
173,7,1024
174,7,1024
175,7,1024
176,7,1024
177,7,1024
178,7,1024
179,6,1024
180,7,1024
181,6,1024
182,6,1024
