time,tx_bytes,tx_pkts,tx_discard,tx_wifi_sent_be,tx_wifi_sent_bk,tx_wifi_sent_vi,tx_wifi_sent_vo,tx_wifi_drop_be,tx_wifi_drop_bk,tx_wifi_drop_vi,tx_wifi_drop_vo,tx_err,tx_unicast,tx_multicast,tx_broadcast,tx_phy_rate,tx_mgmt,tx_mcs_index,tx_nss,tx_bw,tx_sgi,rx_bytes,rx_pkts,rx_discard,rx_err,rx_unicast,rx_multicast,rx_broadcast,rx_unknown,rx_phy_rate,rx_mgmt,rx_ctrl,rx_mcs_index,rx_nss,rx_bw,rx_sgi,hw_noise,snr,rssi,bw
0,6010820.0,64716.0,0.0,63767.0,0.0,0.0,949.0,202.0,0.0,0.0,5.0,0.0,64716.0,0.0,0.0,351.0,11.0,8.0,1.0,80.0,0.0,474435221.0,341607.0,0.0,0.0,341510.0,87.0,10.0,0.0,702.0,11.0,0.0,8.0,2.0,80.0,0.0,-79.1,23.0,43.0,-1234
1,6010951.0,64717.0,0.0,63767.0,0.0,0.0,950.0,202.0,0.0,0.0,5.0,0.0,64717.0,0.0,0.0,351.0,11.0,8.0,1.0,80.0,0.0,474435616.0,341612.0,0.0,0.0,341515.0,87.0,10.0,0.0,527.0,11.0,0.0,6.0,2.0,80.0,0.0,-63.3,23.0,43.0,-1234
2,6011082.0,64718.0,0.0,63767.0,0.0,0.0,951.0,202.0,0.0,0.0,5.0,0.0,64718.0,0.0,0.0,351.0,11.0,8.0,1.0,80.0,0.0,474435695.0,341613.0,0.0,0.0,341516.0,87.0,10.0,0.0,702.0,11.0,0.0,8.0,2.0,80.0,0.0,-62.9,23.0,43.0,-1234
3,6011082.0,64718.0,0.0,63767.0,0.0,0.0,951.0,202.0,0.0,0.0,5.0,0.0,64718.0,0.0,0.0,351.0,11.0,8.0,1.0,80.0,0.0,474435695.0,341613.0,0.0,0.0,341516.0,87.0,10.0,0.0,702.0,11.0,0.0,0.0,0.0,20.0,0.0,-56.1,23.0,44.0,-1234
4,6011350.0,64720.0,0.0,63767.0,0.0,0.0,953.0,202.0,0.0,0.0,5.0,0.0,64720.0,0.0,0.0,351.0,11.0,8.0,1.0,80.0,0.0,474435859.0,341615.0,0.0,0.0,341518.0,87.0,10.0,0.0,702.0,11.0,0.0,8.0,2.0,80.0,0.0,-61.0,28.0,44.0,-1234
5,6011481.0,64721.0,0.0,63767.0,0.0,0.0,954.0,202.0,0.0,0.0,5.0,0.0,64721.0,0.0,0.0,351.0,11.0,8.0,1.0,80.0,0.0,474435938.0,341616.0,0.0,0.0,341519.0,87.0,10.0,0.0,702.0,11.0,0.0,8.0,2.0,80.0,0.0,-68.6,28.0,44.0,-1234
6,6011481.0,64721.0,0.0,63767.0,0.0,0.0,954.0,202.0,0.0,0.0,5.0,0.0,64721.0,0.0,0.0,351.0,11.0,8.0,1.0,80.0,0.0,474435938.0,341616.0,0.0,0.0,341519.0,87.0,10.0,0.0,702.0,11.0,0.0,0.0,0.0,20.0,0.0,-70.9,30.0,44.0,-1234
7,6011612.0,64722.0,0.0,63767.0,0.0,0.0,955.0,202.0,0.0,0.0,5.0,0.0,64722.0,0.0,0.0,351.0,11.0,8.0,1.0,80.0,0.0,474436017.0,341617.0,0.0,0.0,341520.0,87.0,10.0,0.0,702.0,11.0,0.0,8.0,2.0,80.0,0.0,-77.5,30.0,44.0,-1234
8,6011612.0,64722.0,0.0,63767.0,0.0,0.0,955.0,202.0,0.0,0.0,5.0,0.0,64722.0,0.0,0.0,351.0,11.0,8.0,1.0,80.0,0.0,474436017.0,341617.0,0.0,0.0,341520.0,87.0,10.0,0.0,702.0,11.0,0.0,0.0,0.0,20.0,0.0,-79.2,32.0,44.0,-1234
9,6011612.0,64722.0,0.0,63767.0,0.0,0.0,955.0,202.0,0.0,0.0,5.0,0.0,64722.0,0.0,0.0,351.0,11.0,8.0,1.0,80.0,0.0,474436017.0,341617.0,0.0,0.0,341520.0,87.0,10.0,0.0,702.0,11.0,0.0,0.0,0.0,20.0,0.0,-79.2,32.0,44.0,-1234
10,6011612.0,64722.0,0.0,63767.0,0.0,0.0,955.0,202.0,0.0,0.0,5.0,0.0,64722.0,0.0,0.0,351.0,11.0,8.0,1.0,80.0,0.0,474436017.0,341617.0,0.0,0.0,341520.0,87.0,10.0,0.0,702.0,11.0,0.0,0.0,0.0,20.0,0.0,-79.2,32.0,44.0,-1234
11,6012435.0,64727.0,0.0,63771.0,0.0,0.0,956.0,202.0,0.0,0.0,5.0,0.0,64727.0,0.0,0.0,351.0,11.0,8.0,1.0,80.0,0.0,474436096.0,341618.0,0.0,0.0,341521.0,87.0,10.0,0.0,702.0,11.0,0.0,8.0,2.0,80.0,0.0,-74.7,32.0,44.0,-1234
12,6012435.0,64727.0,0.0,63771.0,0.0,0.0,956.0,202.0,0.0,0.0,5.0,0.0,64727.0,0.0,0.0,351.0,11.0,8.0,1.0,80.0,0.0,474436648.0,341624.0,0.0,0.0,341527.0,87.0,10.0,0.0,780.0,11.0,0.0,9.0,2.0,80.0,0.0,-74.3,31.0,44.0,-1234
13,6012877.0,64730.0,0.0,63774.0,0.0,0.0,956.0,202.0,0.0,0.0,5.0,0.0,64730.0,0.0,0.0,351.0,11.0,8.0,1.0,80.0,0.0,474436964.0,341628.0,0.0,0.0,341531.0,87.0,10.0,0.0,780.0,11.0,0.0,9.0,2.0,80.0,0.0,-71.4,31.0,44.0,-1234
14,6012877.0,64730.0,0.0,63774.0,0.0,0.0,956.0,202.0,0.0,0.0,5.0,0.0,64730.0,0.0,0.0,351.0,11.0,8.0,1.0,80.0,0.0,474436964.0,341628.0,0.0,0.0,341531.0,87.0,10.0,0.0,780.0,11.0,0.0,0.0,0.0,20.0,0.0,-70.9,31.0,44.0,-1234
