name,time,Capabilities,IfRepeater,RSSI,RX-Errors,RX-KBytes,RX-Packets,RX-Phyrate,RX_bitRate,State,TX-Errors,TX-KBytes,TX-Packets,TX-Phyrate,TX_bitRate,apmac,deviceaddress,interface
ap-station_last4,2019-05-02T00:00:01+02:00," AC 1X1 SGI20 SGI40 80MHZ",0,-54,0,141,824,293,0,14,0,814,2011,433,2800.53,A491B16F74AD,C865,ap1
ap-station_last4,2019-05-02T00:00:01+02:00," N 1X1 SGI20 SGI40",0,-54,0,33,372,81,0,14,0,1131,1790,150,2800.53,A491B16F74AD,DEF3,ap1
ap-station_last4,2019-05-02T00:00:16+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-61,0,606,4359,234,3133.33,14,0,8016,7679,195,1486.4,A491B16F74AD,7D82,ap1
ap-station_last4,2019-05-02T00:00:16+02:00," AC 2X2 SGI20 SGI40 80MHZ DB",0,-54,0,59,548,585,0,14,0,959,1272,780,44.8,A491B16F74AD,8F68,ap1
ap-station_last4,2019-05-02T00:00:31+02:00," AC 1X1 SGI20 SGI40 80MHZ",0,-54,0,143,832,293,738.667,14,0,820,2027,433,3263.47,A491B16F74AD,C865,ap1
ap-station_last4,2019-05-02T00:00:31+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-61,0,615,4437,293,4816,14,0,8254,7865,260,129954,A491B16F74AD,7D82,ap1
ap-station_last4,2019-05-02T00:00:31+02:00," AC 2X2 SGI20 SGI40 80MHZ DB",0,-54,0,59,548,585,0,14,0,964,1282,780,2714.13,A491B16F74AD,8F68,ap1
ap-station_last4,2019-05-02T00:00:31+02:00," N 1X1 SGI20 SGI40",0,-54,0,33,373,150,22.4,14,0,1136,1802,150,2808,A491B16F74AD,DEF3,ap1
ap-station_last4,2019-05-02T00:00:46+02:00," AC 1X1 SGI20 SGI40 80MHZ",0,-54,0,143,832,293,0,14,0,820,2028,433,44.8,A491B16F74AD,C865,ap1
ap-station_last4,2019-05-02T00:00:46+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-61,0,617,4451,351,977.6,14,0,8255,7872,293,441.6,A491B16F74AD,7D82,ap1
ap-station_last4,2019-05-02T00:00:46+02:00," AC 2X2 SGI20 SGI40 80MHZ DB",0,-52,0,59,549,585,22.4,14,0,964,1283,780,52.2667,A491B16F74AD,8F68,ap1
ap-station_last4,2019-05-02T00:00:46+02:00," N 1X1 SGI20 SGI40",0,-54,0,33,373,150,0,14,0,1136,1802,150,0,A491B16F74AD,DEF3,ap1
ap-station_last4,2019-05-02T00:01:01+02:00," AC 1X1 SGI20 SGI40 80MHZ",0,-54,0,143,834,293,46.9333,14,0,825,2038,433,2763.2,A491B16F74AD,C865,ap1
ap-station_last4,2019-05-02T00:01:01+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-61,0,619,4458,59,1142.93,14,0,8262,7887,293,3773.33,A491B16F74AD,7D82,ap1
ap-station_last4,2019-05-02T00:01:01+02:00," AC 2X2 SGI20 SGI40 80MHZ DB",0,-52,0,59,549,585,0,14,0,969,1293,780,2714.13,A491B16F74AD,8F68,ap1
ap-station_last4,2019-05-02T00:01:01+02:00," N 1X1 SGI20 SGI40",0,-54,0,33,373,150,0,14,0,1141,1812,150,2763.2,A491B16F74AD,DEF3,ap1
ap-station_last4,2019-05-02T00:01:16+02:00," AC 1X1 SGI20 SGI40 80MHZ",0,-54,0,143,834,293,0,14,0,825,2040,433,74.6667,A491B16F74AD,C865,ap1
ap-station_last4,2019-05-02T00:01:16+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-61,0,619,4460,234,99.2,14,0,8262,7888,325,69.3333,A491B16F74AD,7D82,ap1
ap-station_last4,2019-05-02T00:01:16+02:00," AC 2X2 SGI20 SGI40 80MHZ DB",0,-57,0,59,549,585,0,14,0,969,1295,780,74.6667,A491B16F74AD,8F68,ap1
ap-station_last4,2019-05-02T00:01:16+02:00," N 1X1 SGI20 SGI40",0,-54,0,33,373,150,0,14,0,1141,1814,150,74.6667,A491B16F74AD,DEF3,ap1
ap-station_last4,2019-05-02T00:01:31+02:00," AC 1X1 SGI20 SGI40 80MHZ",0,-54,0,143,834,293,0,14,0,830,2050,433,2763.2,A491B16F74AD,C865,ap1
ap-station_last4,2019-05-02T00:01:31+02:00," AC 1X1 SGI20 SGI40 80MHZ DB",0,-61,0,619,4463,293,134.4,14,0,8268,7901,263,2923.2,A491B16F74AD,7D82,ap1
