name,time,Bandsteering,Channel,ChannelWidth,Medium_available,Phyrate,RX-Broadcasts,RX-Discards,RX-Errors,RX-KBytes,RX-Multicasts,RX-Packets,RX-Unicasts,RX_bitRate,TX-Broadcasts,TX-Discards,TX-Errors,TX-KBytes,TX-Multicasts,TX-Packets,TX-Unicasts,TX_bitRate,apband,apmac
ap-statis,2019-05-02T00:00:01+02:00,1,40,80,87,198,32,0,0,836,382,6091,5677,2282.13,740,0,0,11069,749,14057,12569,13821.3,radio_5G,A491B16F74AD
ap-statis,2019-05-02T00:00:16+02:00,1,40,80,85,198,32,0,0,841,383,6100,5687,3001.07,744,0,0,11072,749,14070,12579,1563.2,radio_5G,A491B16F74AD
ap-statis,2019-05-02T00:00:31+02:00,1,40,80,88,198,32,0,0,842,383,6109,5694,335.467,744,0,0,11073,749,14079,12626,443.733,radio_5G,A491B16F74AD
ap-statis,2019-05-02T00:00:46+02:00,1,40,80,87,198,32,0,0,853,389,6202,5782,6291.73,746,0,0,11328,755,14310,12812,139643,radio_5G,A491B16F74AD
ap-statis,2019-05-02T00:01:01+02:00,1,40,80,86,198,32,0,0,854,390,6207,5786,151.467,748,0,0,11329,757,14317,12853,305.067,radio_5G,A491B16F74AD
ap-statis,2019-05-02T00:01:16+02:00,1,40,80,85,198,32,0,0,856,390,6214,5792,1145.07,748,0,0,11351,760,14369,12861,12272,radio_5G,A491B16F74AD
ap-statis,2019-05-02T00:01:31+02:00,1,40,80,85,198,32,0,0,856,390,6219,5797,233.6,750,0,0,11362,760,14393,12885,5755.73,radio_5G,A491B16F74AD
ap-statis,2019-05-02T00:02:01+02:00,1,40,80,89,198,32,0,0,860,391,6241,5819,1430.93,752,0,0,11391,762,14465,12952,9653.87,radio_5G,A491B16F74AD
ap-statis,2019-05-02T00:02:16+02:00,1,40,80,87,198,32,0,0,860,397,6244,5821,82.1333,754,0,0,11396,768,14479,12963,2928.53,radio_5G,A491B16F74AD
ap-statis,2019-05-02T00:02:31+02:00,1,40,80,87,198,32,0,0,862,397,6257,5828,870.933,756,0,0,11418,768,14533,13009,12070.9,radio_5G,A491B16F74AD
ap-statis,2019-05-02T00:02:46+02:00,1,40,80,87,198,32,0,0,869,405,6324,5893,3922.67,756,0,0,11560,776,14647,13119,77226.1,radio_5G,A491B16F74AD
ap-statis,2019-05-02T00:03:00+02:00,1,40,80,86,198,32,0,0,873,406,6344,5907,2110.86,760,0,0,11584,779,14711,13178,14272.6,radio_5G,A491B16F74AD
ap-statis,2019-05-02T00:03:31+02:00,1,40,80,88,198,32,0,0,873,406,6353,5915,278.4,763,0,0,11606,783,14768,13224,11362.1,radio_5G,A491B16F74AD
ap-statis,2019-05-02T00:04:01+02:00,1,40,80,86,198,32,0,0,881,412,6384,5946,4066.67,770,0,0,11634,794,14847,13289,15238.4,radio_5G,A491B16F74AD
