packet,delta
0,59
1,60
2,26
3,43
4,64
5,80
6,66
7,58
8,179
9,125
10,78
11,55
12,45
13,89
14,40
15,57
16,39
17,22
18,175
19,107
20,66
21,26
22,52
23,110
24,31
25,25
26,52
27,156
28,73
29,39
30,22
31,27
32,26
33,29
34,28
35,82
36,33
37,24
38,37
39,22
40,145
41,24
42,23
43,24
44,24
45,35
46,71
47,23
48,20
49,27
50,211
51,72
52,57
53,78
54,55
55,171
56,38
57,44
58,36
59,32
60,58
61,31
62,39
63,21
64,62
65,195
66,117
67,79
68,29
69,31
70,37
71,35
72,42
73,40
74,16
75,34
76,19
77,29
78,55
79,33
80,22
81,52
82,56
83,54
84,198
85,54
86,50
87,259
88,152
89,57
90,40
91,52
92,31
93,52
94,69
95,181
96,58
97,49
98,215
99,34
100,29
101,186
102,52
103,52
104,181
105,56
106,52
107,115
108,39
109,29
110,190
111,89
112,25
113,58
114,106
115,60
116,23
117,124
118,61
119,24
120,27
121,47
122,121
123,49
124,47
125,26
126,42
127,27
128,23
129,21
130,17
131,17
132,125
133,35
134,71
135,35
136,98
137,20
138,35
139,21
140,174
141,37
142,37
143,21
144,35
145,35
146,40
147,37
148,21
149,118
150,29
151,36
152,36
153,99
154,34
155,36
156,35
157,32
158,40
159,36
160,19
161,124
162,35
163,34
164,20
165,35
166,93
167,38
168,25
169,18
170,15
171,100
172,66
173,32
174,19
175,18
176,161
177,53
178,16
179,12
180,15
181,27
182,31
183,31
184,109
185,29
186,28
187,23
188,24
189,86
190,22
191,17
192,172
193,245
194,177
195,29
196,32
197,35
198,31
199,35
200,64
201,11
202,16
203,15
204,12
205,15
206,41
207,69
208,27
209,16
210,14
211,21
212,17
213,19
214,33
215,18
216,18
217,108
218,55
219,29
220,20
221,202
222,104
223,90
224,32
225,25
226,22
227,104
228,58
229,32
230,23
231,39
232,39
233,18
234,22
235,38
236,21
237,19
238,115
239,33
240,47
241,127
242,73
243,53
244,35
245,22
246,134
247,43
248,40
249,33
250,19
251,19
252,146
253,43
254,26
255,19
256,19
257,19
258,18
259,19
260,19
261,19
262,22
263,178
264,95
265,63
266,32
267,22
268,31
269,19
270,58
271,23
272,22
273,19
274,18
275,19
276,19
277,18
278,192
279,41
280,22
281,30
282,40
283,38
284,33
285,22
286,159
287,48
288,22
289,23
290,22
291,26
292,230
293,155
294,122
295,84
296,71
297,26
298,20
299,29
300,42
301,189
302,117
303,57
304,31
305,13
306,31
307,33
308,116
309,24
310,19
311,21
312,85
313,36
314,32
315,19
316,23
317,32
318,102
319,38
320,28
321,27
322,128
323,36
324,38
325,25
326,19
327,66
328,21
329,19
330,18
331,19
332,18
333,19
334,22
335,234
336,185
337,62
338,27
339,22
340,35
341,40
342,29
343,26
344,19
345,19
346,19
347,19
348,133
349,66
350,32
351,33
352,26
353,19
354,19
355,145
356,41
357,20
358,21
359,23
360,36
361,172
362,97
363,21
364,22
365,23
366,28
367,20
368,27
369,129
370,66
371,38
372,38
373,38
374,22
375,125
376,42
377,31
378,31
379,33
380,135
381,75
382,28
383,23
384,23
385,22
386,26
387,136
388,25
389,18
390,20
391,23
392,139
393,25
394,22
395,18
396,67
397,166
398,81
399,53
400,76
401,21
402,156
403,91
404,61
405,33
406,27
407,21
408,133
409,66
410,24
411,25
412,26
413,26
414,110
415,36
416,30
417,21
418,21
419,140
420,69
421,34
422,95
423,211
424,89
425,95
426,173
427,71
428,43
429,42
430,30
431,32
432,164
433,89
434,52
435,19
436,21
437,135
438,58
439,34
440,45
441,24
442,18
443,94
444,30
445,114
446,59
447,44
448,26
449,14
450,87
451,35
452,29
453,15
454,21
455,45
456,35
457,44
458,30
459,82
460,34
461,17
462,33
463,113
464,62
465,33
466,22
467,135
468,41
469,20
470,19
471,19
472,112
473,29
474,36
475,19
476,19
477,19
478,92
479,40
480,29
481,22
482,24
483,36
484,132
485,73
486,23
487,22
488,24
489,57
490,20
491,22
492,27
493,23
494,22
495,23
496,26
497,31
498,33
499,19
500,108
501,51
502,21
503,20
504,18
505,21
506,19
507,133
508,89
509,15
510,38
511,24
512,34
513,93
514,31
515,22
516,13
517,120
518,73
519,17
520,24
521,23
522,22
523,23
524,22
525,22
526,21
527,22
528,164
529,41
530,25
531,23
532,23
533,23
534,22
535,173
536,51
537,24
538,19
539,21
540,26
541,112
542,50
543,27
544,29
545,19
546,32
547,19
548,33
549,59
550,27
551,33
552,19
553,18
554,211
555,123
556,16
557,22
558,27
559,22
560,26
561,117
562,28
563,20
564,23
565,23
566,22
567,124
568,75
569,21
570,38
571,23
572,22
573,92
574,43
575,19
576,19
577,19
578,167
579,104
580,71
581,12
582,19
583,88
584,18
585,46
586,18
587,18
588,18
589,120
590,70
591,18
592,19
593,31
594,18
595,131
596,47
597,18
598,18
599,18
600,112
601,22
602,32
603,19
604,19
605,19
606,18
607,18
608,35
609,18
610,18
611,18
612,41
613,26
614,51
615,36
616,41
617,32
618,26
619,22
620,42
621,20
622,73
623,35
624,18
625,19
626,106
627,72
628,20
629,32
630,18
631,18
632,19
633,67
634,21
635,18
636,18
637,69
638,36
639,19
640,18
641,18
642,45
643,16
644,19
645,18
646,18
647,22
648,32
649,19
650,18
651,18
652,19
653,18
654,18
655,18
656,94
657,32
658,24
659,23
660,18
661,18
662,30
663,126
664,90
665,30
666,22
667,19
668,39
669,34
670,18
671,18
672,19
673,18
674,22
675,82
676,47
677,19
678,19
679,18
680,131
681,24
682,18
683,29
684,46
685,26
686,21
687,21
688,21
689,21
690,78
691,30
692,33
693,23
694,33
695,114
696,60
697,18
698,20
699,19
700,19
701,18
702,19
703,93
704,19
705,32
706,19
707,136
708,100
709,72
710,43
711,18
712,21
713,18
714,13
715,83
716,20
717,86
718,22
719,18
720,18
721,18
722,22
723,174
724,13
725,18
726,18
727,18
728,18
729,18
730,85
731,33
732,23
733,19
734,18
735,19
736,18
737,18
738,18
739,18
740,19
741,21
742,51
743,19
744,19
745,18
746,18
747,91
748,14
749,30
750,13
751,26
752,89
753,20
754,19
755,19
756,18
757,19
758,101
759,21
760,23
761,19
762,18
763,19
764,18
765,19
766,18
767,32
768,22
769,18
770,13
771,19
772,18
773,19
774,18
775,18
776,18
777,18
778,21
779,32
780,18
781,102
782,21
783,29
784,22
785,19
786,19
787,22
788,18
789,151
790,100
791,76
792,30
793,31
794,18
795,19
796,25
797,85
798,15
799,19
800,18
801,27
802,139
803,78
804,18
805,18
806,21
807,18
808,18
809,30
810,18
811,18
812,19
813,19
814,18
815,27
816,18
817,32
818,18
819,18
820,18
821,18
822,18
823,18
824,32
825,22
826,96
827,25
828,19
829,18
830,19
831,18
832,144
833,28
834,18
835,23
836,24
837,32
838,18
839,38
840,28
841,19
842,19
843,23
844,19
845,110
846,39
847,24
848,19
849,12
850,19
851,22
852,83
853,15
854,32
855,19
856,18
857,18
858,18
859,19
860,20
861,19
862,18
863,91
864,52
865,29
866,31
867,18
868,22
869,19
870,19
871,18
872,18
873,18
874,32
875,19
876,18
877,18
878,21
879,19
880,18
881,26
882,26
883,32
884,19
885,18
886,115
887,20
888,22
889,18
890,18
891,18
892,18
893,103
894,51
895,29
896,18
897,19
898,22
899,18
900,123
901,68
902,20
903,31
904,19
905,100
906,61
907,34
908,14
909,18
910,75
911,15
912,15
913,32
914,18
915,18
916,89
917,18
918,18
919,18
920,19
921,21
922,115
923,64
924,32
925,19
926,22
927,19
928,19
929,86
930,20
931,30
932,56
933,30
934,33
935,20
936,18
937,19
938,18
939,32
940,18
941,169
942,61
943,22
944,23
945,133
946,34
947,36
948,18
949,18
950,70
951,19
952,19
953,18
954,22
955,63
956,28
957,18
958,20
959,19
960,18
961,86
962,49
963,21
964,22
965,32
966,18
967,19
968,37
969,20
970,19
971,25
972,22
973,20
974,70
975,30
976,21
977,45
978,20
979,127
980,98
981,43
982,18
983,19
984,22
985,19
986,122
987,33
988,31
989,19
990,18
991,18
992,22
993,119
994,24
995,19
996,19
997,32
998,75
999,20
1000,19
1001,18
1002,18
1003,19
1004,31
1005,32
1006,100
1007,28
1008,19
1009,19
1010,111
1011,27
1012,25
1013,31
1014,23
1015,28
1016,20
1017,18
1018,18
1019,14
1020,18
1021,21
1022,81
1023,36
1024,35
1025,19
1026,18
1027,18
1028,117
1029,26
1030,18
1031,18
1032,18
1033,18
1034,35
1035,18
1036,121
1037,28
1038,18
1039,18
1040,19
1041,18
1042,115
1043,26
1044,30
1045,18
1046,99
1047,21
1048,18
1049,18
1050,18
1051,83
1052,27
1053,32
1054,19
1055,104
1056,55
1057,19
1058,18
1059,13
1060,22
1061,18
1062,31
1063,18
1064,18
1065,18
1066,18
1067,18
1068,21
1069,80
1070,22
1071,19
1072,19
1073,31
1074,103
1075,19
1076,19
1077,18
1078,22
1079,18
1080,18
1081,13
1082,31
1083,18
1084,19
1085,18
1086,18
1087,22
1088,18
1089,18
1090,30
1091,18
1092,18
1093,18
1094,19
1095,18
1096,22
1097,18
1098,18
1099,32
1100,18
1101,18
1102,19
1103,18
1104,22
1105,18
1106,18
1107,18
1108,18
1109,19
1110,32
1111,18
1112,19
1113,22
1114,158
1115,19
1116,19
1117,18
1118,32
1119,18
1120,147
1121,89
1122,37
1123,29
1124,20
1125,15
1126,18
1127,19
1128,127
1129,77
1130,52
1131,21
1132,18
1133,22
1134,18
1135,120
1136,28
1137,12
1138,141
1139,73
1140,51
1141,18
1142,18
1143,22
1144,19
1145,18
1146,18
1147,18
1148,18
1149,76
1150,25
1151,32
1152,19
1153,23
1154,88
1155,35
1156,19
1157,18
1158,19
1159,30
1160,21
1161,26
1162,18
1163,22
1164,117
1165,27
1166,34
1167,18
1168,19
1169,28
1170,19
1171,94
1172,26
1173,23
1174,19
1175,19
1176,38
1177,30
1178,21
1179,21
1180,21
1181,44
1182,24
1183,20
1184,19
1185,18
1186,18
1187,79
1188,31
1189,32
1190,18
1191,18
1192,21
1193,22
1194,127
1195,63
1196,19
1197,18
1198,19
1199,18
1200,32
1201,22
1202,112
1203,26
1204,19
1205,19
1206,108
1207,65
1208,31
1209,22
1210,18
1211,18
1212,21
1213,86
1214,38
1215,26
1216,18
1217,19
1218,18
1219,22
1220,32
1221,94
1222,48
1223,18
1224,18
1225,18
1226,18
1227,11
1228,22
1229,21
1230,188
1231,122
1232,39
1233,17
1234,19
1235,19
1236,19
1237,21
1238,19
1239,19
1240,19
1241,18
1242,18
1243,18
1244,12
1245,135
1246,77
1247,52
1248,37
1249,19
1250,12
1251,18
1252,18
1253,18
1254,18
1255,32
1256,19
1257,21
1258,18
1259,20
1260,136
1261,88
1262,19
1263,32
1264,18
1265,23
1266,23
1267,19
1268,18
1269,116
1270,23
1271,19
1272,32
1273,18
1274,18
1275,65
1276,23
1277,18
1278,18
1279,18
1280,78
1281,31
1282,18
1283,32
1284,18
1285,27
1286,18
1287,86
1288,37
1289,18
1290,17
1291,18
1292,18
1293,18
1294,124
1295,39
1296,13
1297,19
1298,18
1299,18
1300,18
1301,18
1302,18
1303,32
1304,18
1305,22
1306,29
1307,19
1308,19
1309,142
1310,19
1311,12
1312,36
1313,18
1314,19
1315,18
1316,18
1317,115
1318,20
1319,19
1320,19
1321,136
1322,88
1323,60
1324,25
1325,19
1326,18
1327,18
1328,29
1329,35
1330,19
1331,18
1332,22
1333,19
1334,18
1335,93
1336,19
1337,19
1338,18
1339,18
1340,21
1341,80
1342,24
1343,19
1344,31
1345,19
1346,93
1347,52
1348,37
1349,19
1350,18
1351,21
1352,18
1353,27
1354,80
1355,19
1356,18
1357,18
1358,12
1359,18
1360,108
1361,69
1362,44
1363,18
1364,44
1365,18
1366,18
1367,21
1368,60
1369,26
1370,23
1371,14
1372,33
1373,14
1374,18
1375,18
1376,18
1377,18
1378,18
1379,18
1380,125
1381,78
1382,53
1383,26
1384,18
1385,18
1386,30
1387,18
1388,18
1389,19
1390,25
1391,133
1392,85
1393,34
1394,17
1395,19
1396,19
1397,19
1398,14
1399,13
1400,124
1401,64
1402,50
1403,18
1404,19
1405,18
1406,73
1407,19
1408,31
1409,22
1410,27
1411,23
1412,19
1413,19
1414,19
1415,18
1416,124
1417,71
1418,24
1419,17
1420,19
1421,19
1422,18
1423,18
1424,55
1425,18
1426,28
1427,32
1428,18
1429,19
1430,18
1431,74
1432,34
1433,22
1434,18
1435,18
1436,18
1437,110
1438,34
1439,26
1440,22
1441,18
1442,36
1443,35
1444,19
1445,19
1446,18
1447,18
1448,18
1449,26
1450,142
1451,37
1452,26
1453,43
1454,71
1455,28
1456,19
1457,19
1458,18
1459,23
1460,39
1461,19
1462,18
1463,19
1464,93
1465,19
1466,19
1467,19
1468,18
1469,89
1470,50
1471,24
1472,30
1473,18
1474,18
1475,19
1476,19
1477,18
1478,18
1479,18
1480,22
1481,18
1482,19
1483,136
1484,82
1485,56
1486,16
1487,18
1488,18
1489,18
1490,21
1491,149
1492,15
1493,32
1494,18
1495,18
1496,105
1497,30
1498,19
1499,19
1500,22
1501,19
1502,54
1503,27
1504,19
1505,19
1506,36
1507,19
1508,19
1509,19
1510,22
1511,85
1512,17
1513,19
1514,19
1515,19
1516,18
1517,27
1518,152
1519,88
1520,15
1521,19
1522,19
1523,15
1524,18
1525,119
1526,25
1527,38
1528,19
1529,18
1530,33
1531,24
1532,129
1533,73
1534,34
1535,18
1536,18
1537,23
1538,26
1539,26
1540,32
1541,18
1542,19
1543,18
1544,130
1545,57
1546,22
1547,19
1548,19
1549,18
1550,75
1551,32
1552,31
1553,19
1554,19
1555,18
1556,22
1557,19
1558,18
1559,18
1560,94
1561,18
1562,18
1563,31
1564,18
1565,18
1566,25
1567,76
1568,20
1569,19
1570,31
1571,110
1572,19
1573,18
1574,19
1575,18
1576,103
